"req_id","customerid","businessid"
"12021061116230964798","4500370610",TCL20210600001041
"12021061118340964834","4500346956",TCL20210600001061
"12021061111390964739","4500369846",TCL20210600000993
"12021061118000964830","4500363322",TCL20210600000764
"12021061110200964723","4500369606",TCL20210600000981
"12021061111270964720","3001066578",TCL20210600000994
"12021061112240964748","4500369995",TCL20210600001005
"12021061116290964801","4500370700",TCL20210600001044
"12021061111540964761","4500369942",TCL20210600000996
"12021061114070964769","4500370028",TCL20210600001007
"12021061017150964677","4500368488",TCL20210600000953
"12021061011370964584","3001603949",TCL20210600000875
"12021061011120964581","3000993472",TCL20210600000872
"12021061011580964588","4500366696",TCL20210600000878
"12021061018310964693","3001234382",TCL20210600000969
"12021061016500964667","4500320032",TCL20210600000949
"12021061011020964538","3000624544",TCL20210600000868
"12021061017480964686","4500368466",TCL20210600000956
"12021061012020964591","4500367047",TCL20210600000879
"12021061015490964627","4500368094",TCL20210600000931
"12021061012070964594","4500366951",TCL20210600000873
"12021061016410964661","4500279207",TCL20210600000945
"12021061017320964680","3000412302",TCL20210600000958
"12021061012000964589","4500364602",TCL20210600000813
"12021061016300964658","4500368326",TCL20210600000941
"12021061015170964646","3000467681",TCL20210600000922
"12021061014180964614","4500367664",TCL20210600000904
"12021061018220964692","4500368661",TCL20210600000968
"12021061016560964670","4500366696",TCL20210600000951
"12021061016190964656","4500368298",TCL20210600000936
"12021061017140964675","4500368431",TCL20210600000954
"12021061014100964609","4002461063",TCL20210600000901
"12021060917090964464","3000664871",TCL20210600000834
"12021060914400964403","4500361523",TCL20210600000788
"12021060916240964447","3000104054",TCL20210600000819
"12021060912000964352","4007994674",TCL20210600000746
"12021060916520964462","4500364619",TCL20210600000828
"12021060919380964472","4500365362",TCL20210600000844
"12021060912530964391","4500363609",TCL20210600000774
"12021060917390964483","4500365094",TCL20210600000835
"12021060915540964437","4500363956",TCL20210600000808
"12021060911060964347","4500363170",TCL20210600000753
"12021060915430964434","3000430144",TCL20210600000802
"12021060915350964409","4500364117",TCL20210600000789
"12021060816540964271","4500361123",TCL20210600000711
"12021060816260964249","4500360902",TCL20210600000705
"12021060810530964158","4500359374",TCL20210600000631
"12021060811490964194","4500359563",TCL20210600000639
"12021060818000964291","4500361048",TCL20210600000709
"12021060812510964208","4002411129",TCL20210600000663
"12021060818250964294","3000851930",TCL20210600000728
"12021060816430964268","4500360897",TCL20210600000703
"12021060818500964277","4011516752",TCL20210600000733
"12021060817010964273","3001064574",TCL20210600000715
"12021060815050964232","4500360556",TCL20210600000681
"12021060811260964165","4009758788",TCL20210600000635
"12021060816200964246","3001477604",TCL20210600000701
"12021060811480964192","4500359596",TCL20210600000642
"12021060811510964195","3000631098",TCL20210600000644
"12021060817510964287","4005316337",TCL20210600000726
"12021060710200963970","4500347552",TCL20210600000503
