"yd_var","yd_var_name","var"
yd_zxdteminst24mlqccpr,准贷记卡产品下最近24个月最小逾期期数,zxdteminst24mlqccpr
yd_zxdteminst36mlqccpr,准贷记卡产品下最近36个月最小逾期期数,zxdteminst36mlqccpr
yd_zxdteminst48mlqccpr,准贷记卡产品下最近48个月最小逾期期数,zxdteminst48mlqccpr
yd_zxdteminst60mlqccpr,准贷记卡产品下最近60个月最小逾期期数,zxdteminst60mlqccpr
yd_zxdtimaxst1mlallpr,所有产品下最近1个月最大逾期次数,zxdtimaxst1mlallpr
yd_zxdtimaxst3mlallpr,所有产品下最近3个月最大逾期次数,zxdtimaxst3mlallpr
yd_zxdtimaxst6mlallpr,所有产品下最近6个月最大逾期次数,zxdtimaxst6mlallpr
yd_zxdtimaxst9mlallpr,所有产品下最近9个月最大逾期次数,zxdtimaxst9mlallpr
yd_zxdtimaxst12mlallpr,所有产品下最近12个月最大逾期次数,zxdtimaxst12mlallpr
yd_zxdtimaxst24mlallpr,所有产品下最近24个月最大逾期次数,zxdtimaxst24mlallpr
yd_zxdtimaxst36mlallpr,所有产品下最近36个月最大逾期次数,zxdtimaxst36mlallpr
yd_zxdtimaxst48mlallpr,所有产品下最近48个月最大逾期次数,zxdtimaxst48mlallpr
yd_zxdtimaxst60mlallpr,所有产品下最近60个月最大逾期次数,zxdtimaxst60mlallpr
yd_zxdtiminst1mlallpr,所有产品下最近1个月最小逾期次数,zxdtiminst1mlallpr
yd_zxdtiminst3mlallpr,所有产品下最近3个月最小逾期次数,zxdtiminst3mlallpr
yd_zxdtiminst6mlallpr,所有产品下最近6个月最小逾期次数,zxdtiminst6mlallpr
yd_zxdtiminst9mlallpr,所有产品下最近9个月最小逾期次数,zxdtiminst9mlallpr
yd_zxdtiminst12mlallpr,所有产品下最近12个月最小逾期次数,zxdtiminst12mlallpr
yd_zxdtiminst24mlallpr,所有产品下最近24个月最小逾期次数,zxdtiminst24mlallpr
yd_zxdtiminst36mlallpr,所有产品下最近36个月最小逾期次数,zxdtiminst36mlallpr
yd_zxdtiminst48mlallpr,所有产品下最近48个月最小逾期次数,zxdtiminst48mlallpr
yd_zxdtiminst60mlallpr,所有产品下最近60个月最小逾期次数,zxdtiminst60mlallpr
yd_zxdtisumst1mlallpr,所有产品下最近1个月总和逾期次数,zxdtisumst1mlallpr
yd_zxdtisumst3mlallpr,所有产品下最近3个月总和逾期次数,zxdtisumst3mlallpr
yd_zxdtisumst6mlallpr,所有产品下最近6个月总和逾期次数,zxdtisumst6mlallpr
yd_zxdtisumst9mlallpr,所有产品下最近9个月总和逾期次数,zxdtisumst9mlallpr
yd_zxdtisumst12mlallpr,所有产品下最近12个月总和逾期次数,zxdtisumst12mlallpr
yd_zxdtisumst24mlallpr,所有产品下最近24个月总和逾期次数,zxdtisumst24mlallpr
yd_zxdtisumst36mlallpr,所有产品下最近36个月总和逾期次数,zxdtisumst36mlallpr
yd_zxdtisumst48mlallpr,所有产品下最近48个月总和逾期次数,zxdtisumst48mlallpr
yd_zxdtisumst60mlallpr,所有产品下最近60个月总和逾期次数,zxdtisumst60mlallpr
yd_zxdtimaxst1mlplpr,贷款产品下最近1个月最大逾期次数,zxdtimaxst1mlplpr
yd_zxdtimaxst3mlplpr,贷款产品下最近3个月最大逾期次数,zxdtimaxst3mlplpr
yd_zxdtimaxst6mlplpr,贷款产品下最近6个月最大逾期次数,zxdtimaxst6mlplpr
yd_zxdtimaxst9mlplpr,贷款产品下最近9个月最大逾期次数,zxdtimaxst9mlplpr
yd_zxdtimaxst12mlplpr,贷款产品下最近12个月最大逾期次数,zxdtimaxst12mlplpr
yd_zxdtimaxst24mlplpr,贷款产品下最近24个月最大逾期次数,zxdtimaxst24mlplpr
yd_zxdtimaxst36mlplpr,贷款产品下最近36个月最大逾期次数,zxdtimaxst36mlplpr
yd_zxdtimaxst48mlplpr,贷款产品下最近48个月最大逾期次数,zxdtimaxst48mlplpr
yd_zxdtimaxst60mlplpr,贷款产品下最近60个月最大逾期次数,zxdtimaxst60mlplpr
yd_zxdtiminst1mlplpr,贷款产品下最近1个月最小逾期次数,zxdtiminst1mlplpr
yd_zxdtiminst3mlplpr,贷款产品下最近3个月最小逾期次数,zxdtiminst3mlplpr
yd_zxdtiminst6mlplpr,贷款产品下最近6个月最小逾期次数,zxdtiminst6mlplpr
yd_zxdtiminst9mlplpr,贷款产品下最近9个月最小逾期次数,zxdtiminst9mlplpr
yd_zxdtiminst12mlplpr,贷款产品下最近12个月最小逾期次数,zxdtiminst12mlplpr
yd_zxdtiminst24mlplpr,贷款产品下最近24个月最小逾期次数,zxdtiminst24mlplpr
yd_zxdtiminst36mlplpr,贷款产品下最近36个月最小逾期次数,zxdtiminst36mlplpr
yd_zxdtiminst48mlplpr,贷款产品下最近48个月最小逾期次数,zxdtiminst48mlplpr
yd_zxdtiminst60mlplpr,贷款产品下最近60个月最小逾期次数,zxdtiminst60mlplpr
yd_zxdtisumst1mlplpr,贷款产品下最近1个月总和逾期次数,zxdtisumst1mlplpr
yd_zxdtisumst3mlplpr,贷款产品下最近3个月总和逾期次数,zxdtisumst3mlplpr
yd_zxdtisumst6mlplpr,贷款产品下最近6个月总和逾期次数,zxdtisumst6mlplpr
yd_zxdtisumst9mlplpr,贷款产品下最近9个月总和逾期次数,zxdtisumst9mlplpr
yd_zxdtisumst12mlplpr,贷款产品下最近12个月总和逾期次数,zxdtisumst12mlplpr
yd_zxdtisumst24mlplpr,贷款产品下最近24个月总和逾期次数,zxdtisumst24mlplpr
yd_zxdtisumst36mlplpr,贷款产品下最近36个月总和逾期次数,zxdtisumst36mlplpr
yd_zxdtisumst48mlplpr,贷款产品下最近48个月总和逾期次数,zxdtisumst48mlplpr
yd_zxdtisumst60mlplpr,贷款产品下最近60个月总和逾期次数,zxdtisumst60mlplpr
yd_zxdtimaxst1mlaccpr,信用卡产品下最近1个月最大逾期次数,zxdtimaxst1mlaccpr
yd_zxdtimaxst3mlaccpr,信用卡产品下最近3个月最大逾期次数,zxdtimaxst3mlaccpr
yd_zxdtimaxst6mlaccpr,信用卡产品下最近6个月最大逾期次数,zxdtimaxst6mlaccpr
yd_zxdtimaxst9mlaccpr,信用卡产品下最近9个月最大逾期次数,zxdtimaxst9mlaccpr
yd_zxdtimaxst12mlaccpr,信用卡产品下最近12个月最大逾期次数,zxdtimaxst12mlaccpr
yd_zxdtimaxst24mlaccpr,信用卡产品下最近24个月最大逾期次数,zxdtimaxst24mlaccpr
yd_zxdtimaxst36mlaccpr,信用卡产品下最近36个月最大逾期次数,zxdtimaxst36mlaccpr
yd_zxdtimaxst48mlaccpr,信用卡产品下最近48个月最大逾期次数,zxdtimaxst48mlaccpr
yd_zxdtimaxst60mlaccpr,信用卡产品下最近60个月最大逾期次数,zxdtimaxst60mlaccpr
yd_zxdtiminst1mlaccpr,信用卡产品下最近1个月最小逾期次数,zxdtiminst1mlaccpr
yd_zxdtiminst3mlaccpr,信用卡产品下最近3个月最小逾期次数,zxdtiminst3mlaccpr
yd_zxdtiminst6mlaccpr,信用卡产品下最近6个月最小逾期次数,zxdtiminst6mlaccpr
yd_zxdtiminst9mlaccpr,信用卡产品下最近9个月最小逾期次数,zxdtiminst9mlaccpr
yd_zxdtiminst12mlaccpr,信用卡产品下最近12个月最小逾期次数,zxdtiminst12mlaccpr
yd_zxdtiminst24mlaccpr,信用卡产品下最近24个月最小逾期次数,zxdtiminst24mlaccpr
yd_zxdtiminst36mlaccpr,信用卡产品下最近36个月最小逾期次数,zxdtiminst36mlaccpr
yd_zxdtiminst48mlaccpr,信用卡产品下最近48个月最小逾期次数,zxdtiminst48mlaccpr
yd_zxdtiminst60mlaccpr,信用卡产品下最近60个月最小逾期次数,zxdtiminst60mlaccpr
yd_zxdtisumst1mlaccpr,信用卡产品下最近1个月总和逾期次数,zxdtisumst1mlaccpr
yd_zxdtisumst3mlaccpr,信用卡产品下最近3个月总和逾期次数,zxdtisumst3mlaccpr
yd_zxdtisumst6mlaccpr,信用卡产品下最近6个月总和逾期次数,zxdtisumst6mlaccpr
yd_zxdtisumst9mlaccpr,信用卡产品下最近9个月总和逾期次数,zxdtisumst9mlaccpr
yd_zxdtisumst12mlaccpr,信用卡产品下最近12个月总和逾期次数,zxdtisumst12mlaccpr
yd_zxdtisumst24mlaccpr,信用卡产品下最近24个月总和逾期次数,zxdtisumst24mlaccpr
yd_zxdtisumst36mlaccpr,信用卡产品下最近36个月总和逾期次数,zxdtisumst36mlaccpr
yd_zxdtisumst48mlaccpr,信用卡产品下最近48个月总和逾期次数,zxdtisumst48mlaccpr
yd_zxdtisumst60mlaccpr,信用卡产品下最近60个月总和逾期次数,zxdtisumst60mlaccpr
yd_zxdtimaxst1mlccpr,贷记卡产品下最近1个月最大逾期次数,zxdtimaxst1mlccpr
yd_zxdtimaxst3mlccpr,贷记卡产品下最近3个月最大逾期次数,zxdtimaxst3mlccpr
yd_zxdtimaxst6mlccpr,贷记卡产品下最近6个月最大逾期次数,zxdtimaxst6mlccpr
yd_zxdtimaxst9mlccpr,贷记卡产品下最近9个月最大逾期次数,zxdtimaxst9mlccpr
yd_zxdtimaxst12mlccpr,贷记卡产品下最近12个月最大逾期次数,zxdtimaxst12mlccpr
yd_zxdtimaxst24mlccpr,贷记卡产品下最近24个月最大逾期次数,zxdtimaxst24mlccpr
yd_zxdtimaxst36mlccpr,贷记卡产品下最近36个月最大逾期次数,zxdtimaxst36mlccpr
yd_zxdtimaxst48mlccpr,贷记卡产品下最近48个月最大逾期次数,zxdtimaxst48mlccpr
yd_zxdtimaxst60mlccpr,贷记卡产品下最近60个月最大逾期次数,zxdtimaxst60mlccpr
yd_zxdtiminst1mlccpr,贷记卡产品下最近1个月最小逾期次数,zxdtiminst1mlccpr
yd_zxdtiminst3mlccpr,贷记卡产品下最近3个月最小逾期次数,zxdtiminst3mlccpr
yd_zxdtiminst6mlccpr,贷记卡产品下最近6个月最小逾期次数,zxdtiminst6mlccpr
yd_zxdtiminst9mlccpr,贷记卡产品下最近9个月最小逾期次数,zxdtiminst9mlccpr
yd_zxdtiminst12mlccpr,贷记卡产品下最近12个月最小逾期次数,zxdtiminst12mlccpr
yd_zxdtiminst24mlccpr,贷记卡产品下最近24个月最小逾期次数,zxdtiminst24mlccpr
yd_zxdtiminst36mlccpr,贷记卡产品下最近36个月最小逾期次数,zxdtiminst36mlccpr
yd_zxdtiminst48mlccpr,贷记卡产品下最近48个月最小逾期次数,zxdtiminst48mlccpr
yd_zxdtiminst60mlccpr,贷记卡产品下最近60个月最小逾期次数,zxdtiminst60mlccpr
yd_zxdtisumst1mlccpr,贷记卡产品下最近1个月总和逾期次数,zxdtisumst1mlccpr
yd_zxdtisumst3mlccpr,贷记卡产品下最近3个月总和逾期次数,zxdtisumst3mlccpr
yd_zxdtisumst6mlccpr,贷记卡产品下最近6个月总和逾期次数,zxdtisumst6mlccpr
yd_zxdtisumst9mlccpr,贷记卡产品下最近9个月总和逾期次数,zxdtisumst9mlccpr
yd_zxdtisumst12mlccpr,贷记卡产品下最近12个月总和逾期次数,zxdtisumst12mlccpr
yd_zxdtisumst24mlccpr,贷记卡产品下最近24个月总和逾期次数,zxdtisumst24mlccpr
yd_zxdtisumst36mlccpr,贷记卡产品下最近36个月总和逾期次数,zxdtisumst36mlccpr
yd_zxdtisumst48mlccpr,贷记卡产品下最近48个月总和逾期次数,zxdtisumst48mlccpr
yd_zxdtisumst60mlccpr,贷记卡产品下最近60个月总和逾期次数,zxdtisumst60mlccpr
yd_zxdtimaxst1mlqccpr,准贷记卡产品下最近1个月最大逾期次数,zxdtimaxst1mlqccpr
yd_zxdtimaxst3mlqccpr,准贷记卡产品下最近3个月最大逾期次数,zxdtimaxst3mlqccpr
yd_zxdtimaxst6mlqccpr,准贷记卡产品下最近6个月最大逾期次数,zxdtimaxst6mlqccpr
yd_zxdtimaxst9mlqccpr,准贷记卡产品下最近9个月最大逾期次数,zxdtimaxst9mlqccpr
yd_zxdtimaxst12mlqccpr,准贷记卡产品下最近12个月最大逾期次数,zxdtimaxst12mlqccpr
yd_zxdtimaxst24mlqccpr,准贷记卡产品下最近24个月最大逾期次数,zxdtimaxst24mlqccpr
yd_zxdtimaxst36mlqccpr,准贷记卡产品下最近36个月最大逾期次数,zxdtimaxst36mlqccpr
yd_zxdtimaxst48mlqccpr,准贷记卡产品下最近48个月最大逾期次数,zxdtimaxst48mlqccpr
yd_zxdtimaxst60mlqccpr,准贷记卡产品下最近60个月最大逾期次数,zxdtimaxst60mlqccpr
